n,rho,eta,mu,seed,ste_tc_f1,ste_uc_f1,ste_tc_topk_f1,ste_uc_topk_f1,ste_tc_pred_size,ste_uc_pred_size,logloss_train,logloss_val,logloss_test,acc_test,btl_tc_f1,elo_tc_f1,rank_centrality_tc_f1,win_rate_tc_f1
15,0.3,0.1,0.0,51,0.9999999999994333,0.3999999999996266,0.9999999999994333,0.33333333333272225,15.0,12.0,0.6192823956772519,0.7474073487922734,0.817854043345189,0.42857142857142855,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.1,0.1,42,0.8333333333327776,0.3636363636358347,0.9999999999994287,0.49999999999937494,10.0,7.0,0.6117256476331827,0.7522985898493009,0.7255911094992247,0.49473684210526314,0.9999999999994287,0.9999999999994287,0.9999999999994287,0.9999999999994287
15,0.3,0.1,0.1,43,0.1666666666664861,0.1666666666664861,0.0,0.0,11.0,11.0,0.6303064872833922,0.7762174793696633,0.6683365499630085,0.5368421052631579,0.0,0.0,0.0,0.0
15,0.3,0.1,0.1,44,0.9655172413787443,0.3999999999996266,0.9999999999994333,0.6666666666659444,14.0,12.0,0.6156425659214142,0.6983458066036489,0.7727865471083146,0.5263157894736842,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.1,0.1,45,0.9999999999994333,0.352941176470256,0.9999999999994333,0.33333333333272225,15.0,14.0,0.6263982426409098,0.6903673480577855,0.7140687078941367,0.5684210526315789,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.1,0.1,46,0.9655172413787443,0.666666666666148,0.9285714285708622,0.8333333333326944,15.0,12.0,0.6231386970785602,0.751105211796381,0.7447539570877357,0.4631578947368421,0.9285714285708622,0.9285714285708622,0.9285714285708622,0.9285714285708622
15,0.3,0.1,0.1,47,0.12499999999986719,0.15384615384598815,0.0,0.0,15.0,12.0,0.5977963077737195,0.6939113091929672,0.7789160641563939,0.4842105263157895,0.0,0.0,0.0,0.0
15,0.3,0.1,0.1,48,0.9655172413787443,0.499999999999575,0.9999999999994333,0.5999999999993799,14.0,15.0,0.6141295914454793,0.7806345955735643,0.6943874997003104,0.5368421052631579,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.1,0.1,49,0.1666666666664861,0.18181818181798345,0.9999999999984999,0.9999999999984999,11.0,10.0,0.6172213463183381,0.682981436880154,0.7800453931870788,0.5263157894736842,0.9999999999984999,0.9999999999984999,0.9999999999984999,0.9999999999984999
15,0.3,0.1,0.1,50,0.12499999999986719,0.15384615384598815,0.0,0.9999999999984999,15.0,12.0,0.6040685760310834,0.7484073609377582,0.7156649878738113,0.5263157894736842,0.0,0.0,0.0,0.0
15,0.3,0.1,0.1,51,0.9285714285708647,0.33333333333290277,0.9999999999994333,0.33333333333272225,13.0,9.0,0.6058960548304471,0.7820186991698271,0.8249185682359361,0.42105263157894735,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.1,0.3,42,0.7826086956516295,0.26666666666624,0.9999999999994287,0.49999999999937494,9.0,11.0,0.6197679067479445,0.7926009827436858,0.7044807267999695,0.5616438356164384,0.9999999999994287,0.9285714285708622,0.9999999999994287,0.9999999999994287
15,0.3,0.1,0.3,43,0.22222222222197527,0.19999999999978,0.0,0.0,8.0,9.0,0.6438518937845983,0.6909442384468228,0.6938348738567546,0.547945205479452,0.0,0.0,0.0,0.0
15,0.3,0.1,0.3,44,0.7499999999994686,0.30769230769190536,0.9999999999994333,0.33333333333272225,9.0,10.0,0.6063783823318716,0.7607650824991017,0.7848312306336399,0.4794520547945205,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.1,0.3,45,0.8888888888883291,0.3999999999996266,0.9999999999994333,0.0,12.0,12.0,0.6195435558778841,0.6901910241591709,0.7364120222453907,0.5753424657534246,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.1,0.3,46,0.8799999999994369,0.4444444444439506,0.9285714285708622,0.33333333333277776,11.0,12.0,0.6248938453294264,0.8086662718988967,0.7655293941788595,0.4794520547945205,0.9285714285708622,0.9285714285708622,0.9285714285708622,0.9285714285708622
15,0.3,0.1,0.3,47,0.1666666666664861,0.18181818181798345,0.0,0.0,11.0,10.0,0.6059175645132833,0.671436189275647,0.7359497660167659,0.4794520547945205,0.0,0.0,0.9999999999984999,0.0
15,0.3,0.1,0.3,48,0.42105263157857065,0.5714285714280306,0.9999999999994333,0.5999999999993799,4.0,9.0,0.6263959089184064,0.8224502927719016,0.7567852938212691,0.4520547945205479,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.1,0.3,49,0.0,0.22222222222197527,0.0,0.0,1.0,8.0,0.6186003111015981,0.7497162484933096,0.7783799814120037,0.5068493150684932,0.0,0.0,0.0,0.0
15,0.3,0.1,0.3,50,0.9999999999984999,0.15384615384598815,0.9999999999984999,0.9999999999984999,1.0,12.0,0.6231136982012655,0.6373790962071171,0.7360756520802347,0.4794520547945205,0.9999999999984999,0.0,0.9999999999984999,0.9999999999984999
15,0.3,0.1,0.3,51,0.12499999999986719,0.49999999999954164,0.9999999999994333,0.33333333333272225,1.0,9.0,0.5955427942089027,0.7113818162208302,0.8204663831932265,0.4794520547945205,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
