n,rho,eta,mu,seed,m_per_pair,ste_tc_f1,ste_tc_jaccard,ste_uc_f1,ste_uc_jaccard,ste_tc_topk_f1,ste_uc_topk_f1,ste_top1_tc,ste_tc_pred_size,ste_uc_pred_size,true_tc_size,true_uc_size,logloss_train,logloss_val,logloss_test,acc_test,win_rate_tc_f1,win_rate_uc_f1,win_rate_top1_tc,copeland_tc_f1,copeland_uc_f1,copeland_top1_tc,elo_tc_f1,elo_uc_f1,elo_top1_tc,rank_centrality_tc_f1,rank_centrality_uc_f1,rank_centrality_top1_tc,btl_tc_f1,btl_uc_f1,btl_top1_tc,hodgerank_tc_f1,hodgerank_uc_f1,hodgerank_top1_tc
20,0.8,0.05,0.1,45,10,0.9142857142851658,0.8421052631578947,0.27272727272701236,0.15789473684210525,0.9374999999994414,0.0,1.0,19.0,19.0,16.0,3.0,0.6134187458019683,0.7186510923208194,0.7331096734537732,0.5789473684210527,0.8749999999994453,0.0,1.0,0.8749999999994453,0.0,1.0,0.8749999999994453,0.0,1.0,0.8749999999994453,0.0,1.0,0.8749999999994453,0.0,1.0,0.8749999999994453,0.0,1.0
20,0.8,0.05,0.1,46,10,0.9743589743584248,0.95,0.29999999999971494,0.17647058823529413,0.99999999999945,0.33333333333272225,1.0,19.0,17.0,20.0,3.0,0.6009708082344823,0.7038585004215765,0.722546420488278,0.5029239766081871,0.99999999999945,0.0,1.0,0.99999999999945,0.0,1.0,0.99999999999945,0.33333333333272225,1.0,0.99999999999945,0.0,1.0,0.99999999999945,0.0,1.0,0.99999999999945,0.0,1.0
20,0.8,0.05,0.1,47,10,0.10526315789462604,0.05555555555555555,0.22222222222197527,0.125,0.9999999999984999,0.9999999999984999,1.0,18.0,8.0,1.0,1.0,0.5822197300566408,0.6672237367836924,0.6856850588050193,0.5730994152046783,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
20,0.8,0.05,0.1,48,10,0.09523809523799547,0.05,0.09999999999989499,0.05263157894736842,0.0,0.0,0.0,20.0,19.0,1.0,1.0,0.6099367438426768,0.704408503357443,0.7334025197461235,0.5146198830409356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.8,0.05,0.1,49,10,0.09523809523799547,0.05,0.11111111111099384,0.058823529411764705,0.9999999999984999,0.9999999999984999,1.0,20.0,17.0,1.0,1.0,0.5937115243193561,0.6912906755791755,0.7122681213733834,0.5964912280701754,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
20,0.8,0.05,0.1,50,10,0.9473684210520831,0.9,0.5833333333328715,0.4117647058823529,0.99999999999945,0.5714285714279898,1.0,18.0,17.0,20.0,7.0,0.6023640104880013,0.6982486811808503,0.7083227602992506,0.5730994152046783,0.99999999999945,0.7142857142851122,1.0,0.99999999999945,0.5714285714279898,1.0,0.99999999999945,0.7142857142851122,1.0,0.99999999999945,0.7142857142851122,1.0,0.99999999999945,0.7142857142851122,1.0,0.99999999999945,0.7142857142851122,1.0
20,0.8,0.05,0.1,51,10,0.09999999999989499,0.05263157894736842,0.15384615384598815,0.08333333333333333,0.9999999999984999,0.0,1.0,19.0,12.0,1.0,1.0,0.6081913695088885,0.6779778318393427,0.6553218491434466,0.5964912280701754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.05,0.1,42,10,0.039215686274469815,0.02,0.03999999999995919,0.02040816326530612,0.0,0.0,0.0,50.0,49.0,1.0,1.0,0.6189195759555934,0.7177084679093335,0.7237383978673115,0.5222121486854034,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
50,0.0,0.05,0.1,43,10,0.039215686274469815,0.02,0.03999999999995919,0.02040816326530612,0.0,0.0,0.0,50.0,49.0,1.0,1.0,0.6184561362923264,0.7232800564745859,0.7293607031060667,0.5294650951949229,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.05,0.1,44,10,0.039215686274469815,0.02,0.04255319148931825,0.021739130434782608,0.9999999999984999,0.9999999999984999,1.0,50.0,46.0,1.0,1.0,0.6199578813068005,0.7114930248858984,0.7275816110344749,0.5122393472348141,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
