n,seed,agent,tc_prob,tc_label,uc_prob,uc_label
20,49,8,0.8109955191612244,0.0,0.7642205953598022,0.0
20,49,9,0.6254949569702148,0.0,0.22122155129909515,0.0
20,49,10,0.7734654545783997,0.0,0.45030221343040466,0.0
20,49,11,0.7854275703430176,0.0,0.7440502047538757,0.0
20,49,12,0.8303578495979309,1.0,0.9185662865638733,1.0
20,49,13,0.7706851363182068,0.0,0.7872381806373596,0.0
20,49,14,0.7658147811889648,0.0,0.8636385798454285,0.0
20,49,15,0.7846558690071106,0.0,0.865648090839386,0.0
20,49,16,0.7661061882972717,0.0,0.8847241997718811,0.0
20,49,17,0.7503522634506226,0.0,0.5508490204811096,0.0
20,49,18,0.6546926498413086,0.0,0.6750380992889404,0.0
20,49,19,0.7874093651771545,0.0,0.5189434289932251,0.0
20,50,0,0.7825682163238525,0.0,0.841990053653717,0.0
20,50,1,0.6399203538894653,0.0,0.7353687882423401,0.0
20,50,2,0.7253908514976501,0.0,0.7596915364265442,0.0
20,50,3,0.7099767327308655,0.0,0.640534520149231,0.0
20,50,4,0.7515438795089722,1.0,0.8866283297538757,1.0
20,50,5,0.7335967421531677,0.0,0.8748051524162292,0.0
20,50,6,0.7897775173187256,0.0,0.8608084917068481,0.0
20,50,7,0.6492521166801453,0.0,0.6428021788597107,0.0
20,50,8,0.6848580241203308,0.0,0.6936360001564026,0.0
20,50,9,0.6510242223739624,0.0,0.4864526689052582,0.0
20,50,10,0.6714669466018677,0.0,0.5674068331718445,0.0
20,50,11,0.7573571801185608,0.0,0.5271626710891724,0.0
20,50,12,0.710162341594696,0.0,0.5102046728134155,0.0
20,50,13,0.730545163154602,0.0,0.8474509716033936,0.0
20,50,14,0.42977139353752136,0.0,0.3277469575405121,0.0
20,50,15,0.6900956034660339,0.0,0.7513428926467896,0.0
20,50,16,0.6466142535209656,0.0,0.7170875668525696,0.0
20,50,17,0.7120202779769897,0.0,0.39717110991477966,0.0
20,50,18,0.6840292811393738,0.0,0.4972502589225769,0.0
20,50,19,0.4377690851688385,0.0,0.39069145917892456,0.0
20,51,0,0.7455610632896423,0.0,0.319824755191803,0.0
20,51,1,0.7813044190406799,0.0,0.7579858303070068,0.0
20,51,2,0.7816175222396851,0.0,0.5400587916374207,0.0
20,51,3,0.7959559559822083,0.0,0.6790210008621216,0.0
20,51,4,0.7629196047782898,0.0,0.6989245414733887,0.0
20,51,5,0.6393159627914429,0.0,0.7362267971038818,0.0
20,51,6,0.6903262138366699,0.0,0.15653184056282043,0.0
20,51,7,0.8089981079101562,0.0,0.9218961000442505,0.0
20,51,8,0.7403374910354614,0.0,0.4235580563545227,0.0
20,51,9,0.49699512124061584,0.0,0.27500027418136597,0.0
20,51,10,0.7570273876190186,0.0,0.46781277656555176,0.0
20,51,11,0.6862006187438965,0.0,0.467985063791275,0.0
20,51,12,0.6520533561706543,0.0,0.7412827610969543,0.0
20,51,13,0.800153374671936,1.0,0.8263537883758545,1.0
20,51,14,0.779650866985321,0.0,0.8430823683738708,0.0
20,51,15,0.7318714261054993,0.0,0.2619189918041229,0.0
20,51,16,0.7972853183746338,0.0,0.9034711718559265,0.0
20,51,17,0.5790464878082275,0.0,0.34760355949401855,0.0
20,51,18,0.7806369662284851,0.0,0.5169038772583008,0.0
20,51,19,0.7293396592140198,0.0,0.5467029809951782,0.0
30,42,0,0.7688547968864441,0.0,0.866428017616272,0.0
30,42,1,0.6843233108520508,0.0,0.5989770889282227,0.0
30,42,2,0.7806042432785034,0.0,0.8849078416824341,0.0
30,42,3,0.7837053537368774,0.0,0.8507922291755676,0.0
30,42,4,0.6332456469535828,0.0,0.35912325978279114,0.0
30,42,5,0.7805014848709106,0.0,0.3898807168006897,0.0
